epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17532.5,0.97696,0.52569,0.9313,0.98098,0.97109,0.98973,0.7611,1.05721,0.49728,0.99746,0.000803876,0.000803876,0.000803876
43,17540.8,0.99743,0.53076,0.9461,0.94543,0.91989,0.9548,0.71404,1.16415,0.71444,1.03877,0.000785127,0.000785127,0.000785127
44,17549,0.97357,0.5203,0.93309,0.94021,0.9418,0.97954,0.74555,1.15727,0.57487,1.02315,0.000766226,0.000766226,0.000766226
45,17557.5,0.98386,0.52206,0.93948,0.95012,0.9548,0.98235,0.74734,1.10825,0.53848,1.01584,0.000747192,0.000747192,0.000747192
46,17565.9,0.97667,0.52093,0.94017,0.94489,0.96151,0.98909,0.77254,1.09536,0.52026,1.00589,0.000728044,0.000728044,0.000728044
47,17574.4,0.95732,0.50554,0.93412,0.95373,0.91997,0.97928,0.72874,1.15511,0.62177,1.02535,0.0007088,0.0007088,0.0007088
48,17583.2,0.96701,0.51844,0.93591,0.87926,0.95063,0.9746,0.7448,1.13323,0.69595,1.02164,0.00068948,0.00068948,0.00068948
49,17591.9,0.94443,0.51459,0.92797,0.94699,0.91127,0.97021,0.72391,1.18559,0.64936,1.05224,0.000670102,0.000670102,0.000670102
50,17600.3,0.94294,0.49291,0.92401,0.9473,0.9159,0.97177,0.7421,1.15868,0.64523,1.01451,0.000650685,0.000650685,0.000650685
51,17608.5,0.95159,0.5023,0.93242,0.9453,0.91584,0.97178,0.74837,1.07273,0.68093,0.98773,0.00063125,0.00063125,0.00063125
52,17616.7,0.96151,0.49745,0.93223,0.9373,0.93302,0.97437,0.73463,1.14083,0.60088,1.00994,0.000611815,0.000611815,0.000611815
53,17624.9,0.96644,0.50152,0.93097,0.97667,0.96459,0.98923,0.75858,1.1372,0.484,1.01895,0.000592398,0.000592398,0.000592398
54,17633.3,0.9392,0.49424,0.92026,0.97701,0.95674,0.99097,0.7523,1.10488,0.48571,1.0074,0.00057302,0.00057302,0.00057302
55,17641.8,0.94548,0.48982,0.92241,0.95865,0.92985,0.96047,0.73415,1.16072,0.58917,1.0217,0.0005537,0.0005537,0.0005537
56,17650.2,0.93429,0.47641,0.91981,0.94706,0.89595,0.95759,0.74198,1.16959,0.73315,1.02842,0.000534456,0.000534456,0.000534456
57,17658.6,0.95746,0.49234,0.9279,0.97398,0.92841,0.98303,0.75789,1.08885,0.53633,1.00152,0.000515308,0.000515308,0.000515308
58,17666.9,0.93828,0.48346,0.92424,0.94718,0.90052,0.97021,0.75417,1.09407,0.69257,1.00391,0.000496274,0.000496274,0.000496274
59,17675,0.91458,0.46548,0.9165,0.94941,0.93001,0.96546,0.75065,1.08625,0.58561,0.99537,0.000477373,0.000477373,0.000477373
60,17683.3,0.92596,0.47401,0.92079,0.96616,0.93078,0.98129,0.76397,1.11167,0.57685,1.0128,0.000458624,0.000458624,0.000458624
61,17691.8,0.93366,0.47922,0.92167,0.95096,0.95247,0.98138,0.75527,1.11057,0.54425,1.01877,0.000440046,0.000440046,0.000440046
62,17700.1,0.93341,0.47378,0.92671,0.91765,0.94441,0.9743,0.74957,1.12193,0.6545,1.01508,0.000421656,0.000421656,0.000421656
63,17708.3,0.89788,0.45266,0.90707,0.94638,0.93686,0.97157,0.73421,1.12025,0.66857,1.01025,0.000403473,0.000403473,0.000403473
64,17716.6,0.90744,0.46303,0.91509,0.95334,0.93119,0.96797,0.73783,1.1474,0.58622,1.01542,0.000385515,0.000385515,0.000385515
65,17724.9,0.90726,0.46554,0.92096,0.95909,0.95297,0.97826,0.76092,1.09666,0.53648,1.00029,0.000367799,0.000367799,0.000367799
66,17733.3,0.89971,0.45955,0.91095,0.95523,0.94141,0.97696,0.74205,1.15993,0.575,1.03466,0.000350343,0.000350343,0.000350343
67,17741.7,0.89034,0.45735,0.90978,0.90937,0.92152,0.96021,0.74118,1.1311,0.77615,1.01808,0.000333165,0.000333165,0.000333165
68,17750,0.90099,0.4552,0.91341,0.95029,0.95085,0.97947,0.7692,1.10876,0.58234,1.00728,0.000316281,0.000316281,0.000316281
69,17758.3,0.88859,0.44929,0.91108,0.94732,0.9268,0.97361,0.74904,1.10914,0.63312,1.01137,0.000299707,0.000299707,0.000299707
70,17766.6,0.8801,0.43761,0.90893,0.94732,0.91876,0.96364,0.74911,1.12872,0.694,1.01967,0.000283461,0.000283461,0.000283461
71,17775,0.86495,0.43617,0.90457,0.9571,0.95464,0.98638,0.76999,1.11094,0.53818,1.00903,0.000267558,0.000267558,0.000267558
72,17783.4,0.87417,0.44819,0.90564,0.95352,0.91922,0.982,0.77624,1.08372,0.60209,0.998,0.000252014,0.000252014,0.000252014
73,17791.8,0.87656,0.43917,0.90594,0.94665,0.92006,0.97655,0.75977,1.15477,0.60795,1.02677,0.000236844,0.000236844,0.000236844
74,17800.3,0.88432,0.43976,0.90923,0.9565,0.93989,0.98003,0.74713,1.14649,0.54869,1.02249,0.000222063,0.000222063,0.000222063
75,17808.8,0.87215,0.43519,0.90489,0.96565,0.93595,0.97842,0.77028,1.13054,0.53447,1.00833,0.000207686,0.000207686,0.000207686
