Generating SQLite file ./profiling/trt_fp32_profile_16032026_v1.sqlite from ./profiling/trt_fp32_profile_16032026_v1.nsys-rep
Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)    Style                                                   Range                                                
      0,0          298 912          3      99 637,0      90 176,0      85 920      122 816      20 185,0  PushPop   TensorRT:PWN(PWN(/model.12/cv1/act/Sigmoid), PWN(/model.12/cv1/act/Mul))                            
      0,0          296 000          3      98 666,0      98 304,0      87 552      110 144      11 300,0  PushPop   TensorRT:PWN(PWN(/model.18/m.0/cv1/act/Sigmoid), PWN(/model.18/m.0/cv1/act/Mul))                    
      0,0          294 656          3      98 218,0      95 040,0      79 008      120 608      20 981,0  PushPop   TensorRT:PWN(PWN(/model.22/cv2.1/cv2.1.1/act/Sigmoid), PWN(/model.22/cv2.1/cv2.1.1/act/Mul))        
      0,0          294 336          3      98 112,0      93 024,0      90 176      111 136      11 368,0  PushPop   TensorRT:PWN(PWN(/model.5/act/Sigmoid), PWN(/model.5/act/Mul))                                      
      0,0          290 400          3      96 800,0     100 320,0      89 600      100 480       6 235,0  PushPop   TensorRT:PWN(PWN(/model.2/cv1/act/Sigmoid), PWN(/model.2/cv1/act/Mul))                              
      0,0          289 920         63       4 601,0       3 872,0       2 560       16 320       2 913,0  StartEnd  :myelinBinaryGraphCreate                                                                            
      0,0          288 704          3      96 234,0      91 968,0      76 256      120 480      22 418,0  PushPop   TensorRT:PWN(PWN(/model.21/m.0/cv1/act/Sigmoid), PWN(/model.21/m.0/cv1/act/Mul))                    
      0,0          286 208          3      95 402,0      76 256,0      72 960      136 992      36 055,0  PushPop   TensorRT:PWN(PWN(/model.22/cv2.2/cv2.2.0/act/Sigmoid), PWN(/model.22/cv2.2/cv2.2.0/act/Mul))        
      0,0          286 048          3      95 349,0      73 664,0      71 840      140 544      39 150,0  PushPop   TensorRT:PWN(PWN(/model.22/cv3.0/cv3.0.1/act/Sigmoid), PWN(/model.22/cv3.0/cv3.0.1/act/Mul))        
      0,0          284 928          3      94 976,0      93 312,0      89 984      101 632       5 999,0  PushPop   TensorRT:PWN(PWN(/model.22/cv2.0/cv2.0.1/act/Sigmoid), PWN(/model.22/cv2.0/cv2.0.1/act/Mul))        
      0,0          284 864          3      94 954,0      95 488,0      80 160      109 216      14 535,0  PushPop   TensorRT:PWN(PWN(/model.4/cv2/act/Sigmoid), PWN(/model.4/cv2/act/Mul))                              
      0,0          284 704          3      94 901,0      91 712,0      82 784      110 208      13 987,0  PushPop   TensorRT:PWN(PWN(/model.12/cv2/act/Sigmoid), PWN(/model.12/cv2/act/Mul))                            
      0,0          284 384          3      94 794,0      93 440,0      91 040       99 904       4 584,0  PushPop   TensorRT:PWN(PWN(/model.15/m.0/cv2/act/Sigmoid), PWN(/model.15/m.0/cv2/act/Mul))                    
      0,0          283 968          3      94 656,0      96 288,0      68 192      119 488      25 686,0  PushPop   TensorRT:/model.15/Split_output_0 copy                                                              
      0,0          283 552          3      94 517,0      87 456,0      83 424      112 672      15 851,0  PushPop   TensorRT:PWN(PWN(/model.6/m.1/cv1/act/Sigmoid), PWN(/model.6/m.1/cv1/act/Mul))                      
      0,0          278 816          3      92 938,0      87 968,0      86 240      104 608      10 142,0  PushPop   TensorRT:PWN(PWN(/model.9/cv1/act/Sigmoid), PWN(/model.9/cv1/act/Mul))                              
      0,0          277 216          3      92 405,0      85 056,0      83 808      108 352      13 824,0  PushPop   TensorRT:PWN(PWN(PWN(/model.6/m.0/cv2/act/Sigmoid), PWN(/model.6/m.0/cv2/act/Mul)), PWN(/model.6/m.…
      0,0          277 184          3      92 394,0      83 200,0      76 672      117 312      21 824,0  PushPop   TensorRT:PWN(PWN(/model.22/cv2.2/cv2.2.1/act/Sigmoid), PWN(/model.22/cv2.2/cv2.2.1/act/Mul))        
      0,0          275 584          3      91 861,0      86 528,0      73 888      115 168      21 150,0  PushPop   TensorRT:PWN(PWN(/model.15/cv2/act/Sigmoid), PWN(/model.15/cv2/act/Mul))                            
      0,0          273 792          3      91 264,0      89 952,0      76 384      107 456      15 577,0  PushPop   TensorRT:PWN(PWN(/model.12/m.0/cv1/act/Sigmoid), PWN(/model.12/m.0/cv1/act/Mul))                    
      0,0          273 280          3      91 093,0      70 624,0      59 680      142 976      45 263,0  PushPop   TensorRT:Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model.12/cv2/act/Sigmoid), PWN(/mode…
      0,0          273 088          3      91 029,0      94 912,0      74 304      103 872      15 161,0  PushPop   TensorRT:PWN(PWN(PWN(/model.4/m.1/cv2/act/Sigmoid), PWN(/model.4/m.1/cv2/act/Mul)), PWN(/model.4/m.…
      0,0          272 928          3      90 976,0      83 008,0      80 000      109 920      16 474,0  PushPop   TensorRT:PWN(PWN(/model.18/cv2/act/Sigmoid), PWN(/model.18/cv2/act/Mul))                            
      0,0          271 744          3      90 581,0      78 400,0      61 760      131 584      36 471,0  PushPop   TensorRT:/model.2/Split_output_1 copy                                                               
      0,0          269 600          3      89 866,0      84 000,0      80 672      104 928      13 149,0  PushPop   TensorRT:PWN(PWN(/model.4/cv1/act/Sigmoid), PWN(/model.4/cv1/act/Mul))                              
      0,0          269 472          3      89 824,0      84 992,0      80 256      104 224      12 693,0  PushPop   TensorRT:/model.6/Split_output_0 copy                                                               
      0,0          269 216          3      89 738,0      85 984,0      78 336      104 896      13 672,0  PushPop   TensorRT:PWN(PWN(/model.19/act/Sigmoid), PWN(/model.19/act/Mul))                                    
      0,0          269 152          3      89 717,0      93 536,0      81 568       94 048       7 062,0  PushPop   TensorRT:PWN(PWN(PWN(/model.2/m.0/cv2/act/Sigmoid), PWN(/model.2/m.0/cv2/act/Mul)), PWN(/model.2/m.…
      0,0          267 680          3      89 226,0      86 240,0      81 440      100 000       9 633,0  PushPop   TensorRT:PWN(PWN(/model.12/m.0/cv2/act/Sigmoid), PWN(/model.12/m.0/cv2/act/Mul))                    
      0,0          267 136          3      89 045,0      79 648,0      71 328      116 160      23 847,0  PushPop   TensorRT:/model.21/Split_output_0 copy                                                              
      0,0          264 800          3      88 266,0      91 392,0      74 176       99 232      12 817,0  PushPop   TensorRT:PWN(PWN(/model.6/cv2/act/Sigmoid), PWN(/model.6/cv2/act/Mul))                              
      0,0          264 768          3      88 256,0      86 720,0      81 824       96 224       7 321,0  PushPop   TensorRT:PWN(PWN(/model.21/m.0/cv2/act/Sigmoid), PWN(/model.21/m.0/cv2/act/Mul))                    
      0,0          264 448          3      88 149,0      86 880,0      74 816      102 752      14 011,0  PushPop   TensorRT:PWN(PWN(/model.7/act/Sigmoid), PWN(/model.7/act/Mul))                                      
      0,0          263 936          3      87 978,0      80 096,0      79 616      104 224      14 070,0  PushPop   TensorRT:PWN(PWN(/model.6/m.0/cv1/act/Sigmoid), PWN(/model.6/m.0/cv1/act/Mul))                      
      0,0          261 792          3      87 264,0      76 736,0      76 000      109 056      18 876,0  PushPop   TensorRT:PWN(PWN(/model.3/act/Sigmoid), PWN(/model.3/act/Mul))                                      
      0,0          261 280          3      87 093,0      77 280,0      68 832      115 168      24 677,0  PushPop   TensorRT:PWN(PWN(/model.21/cv2/act/Sigmoid), PWN(/model.21/cv2/act/Mul))                            
      0,0          261 248          3      87 082,0      85 024,0      70 080      106 144      18 119,0  PushPop   TensorRT:PWN(PWN(/model.22/cv3.0/cv3.0.0/act/Sigmoid), PWN(/model.22/cv3.0/cv3.0.0/act/Mul))        
      0,0          260 864          3      86 954,0      83 840,0      75 040      101 984      13 739,0  PushPop   TensorRT:PWN(PWN(PWN(/model.6/m.1/cv2/act/Sigmoid), PWN(/model.6/m.1/cv2/act/Mul)), PWN(/model.6/m.…
      0,0          260 800          3      86 933,0      82 784,0      79 104       98 912      10 535,0  PushPop   TensorRT:PWN(PWN(/model.4/m.0/cv1/act/Sigmoid), PWN(/model.4/m.0/cv1/act/Mul))                      
      0,0          259 296          3      86 432,0      77 216,0      74 240      107 840      18 599,0  PushPop   TensorRT:PWN(PWN(/model.15/cv1/act/Sigmoid), PWN(/model.15/cv1/act/Mul))                            
      0,0          258 368          3      86 122,0      82 688,0      77 088       98 592      11 155,0  PushPop   TensorRT:PWN(/model.22/Add_1)                                                                       
      0,0          258 016          3      86 005,0      78 272,0      72 640      107 104      18 487,0  PushPop   TensorRT:/model.4/Split_output_1 copy                                                               
      0,0          257 376          3      85 792,0      81 728,0      77 728       97 920      10 691,0  PushPop   TensorRT:/model.18/Split_output_0 copy                                                              
