epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1579,0.93957,0.47161,1.00047,0.89055,0.93252,0.94301,0.70987,0.94017,0.46375,1.06937,0.000714485,0.000714485,0.000714485
43,1616.94,0.9337,0.4708,1.00029,0.9077,0.92888,0.95377,0.71492,0.96189,0.44037,1.06458,0.000697821,0.000697821,0.000697821
44,1654.58,0.92838,0.46103,0.99953,0.94361,0.92897,0.95591,0.71443,0.94103,0.45922,1.06976,0.000681022,0.000681022,0.000681022
45,1692.16,0.91537,0.45643,0.99961,0.87869,0.92285,0.92824,0.70602,0.93608,0.49002,1.05457,0.000664104,0.000664104,0.000664104
46,1729.98,0.91144,0.4556,0.98517,0.91924,0.91126,0.92869,0.68468,0.97216,0.55262,1.07642,0.000647085,0.000647085,0.000647085
47,1767.55,0.91236,0.45738,0.99782,0.92698,0.91308,0.93828,0.69795,0.96968,0.46166,1.0654,0.000629981,0.000629981,0.000629981
48,1805.59,0.91895,0.45693,0.99287,0.93189,0.94964,0.95297,0.71028,0.96586,0.44139,1.08041,0.000612809,0.000612809,0.000612809
49,1843.25,0.91981,0.45525,0.99051,0.91892,0.89996,0.92561,0.70015,0.91334,0.46398,1.05789,0.000595586,0.000595586,0.000595586
50,1880.8,0.8994,0.44893,0.98737,0.86956,0.90299,0.92391,0.68056,0.96609,0.4943,1.07868,0.000578329,0.000578329,0.000578329
51,1917.9,0.89986,0.44255,0.98843,0.85775,0.95894,0.92863,0.68967,0.96783,0.48236,1.07518,0.000561055,0.000561055,0.000561055
52,1955.09,0.90418,0.44101,0.98329,0.92423,0.9202,0.93516,0.7036,0.92259,0.46337,1.05432,0.000543781,0.000543781,0.000543781
53,1992.42,0.88584,0.43408,0.98217,0.93471,0.91,0.93712,0.70009,1.01203,0.43386,1.09907,0.000526524,0.000526524,0.000526524
54,2029.95,0.89626,0.43766,0.98714,0.89005,0.92291,0.93232,0.71208,0.94371,0.51587,1.07384,0.000509301,0.000509301,0.000509301
55,2067.76,0.89273,0.43554,0.982,0.91117,0.95807,0.96286,0.7161,0.97748,0.43664,1.08916,0.000492129,0.000492129,0.000492129
56,2105.12,0.88762,0.43156,0.97998,0.90622,0.9089,0.94368,0.70949,0.93875,0.46566,1.06021,0.000475025,0.000475025,0.000475025
57,2142.52,0.87592,0.42076,0.97456,0.92385,0.95945,0.95384,0.71393,0.94156,0.41367,1.06121,0.000458006,0.000458006,0.000458006
58,2179.91,0.87443,0.42565,0.97565,0.90779,0.89813,0.9373,0.70251,0.93113,0.5315,1.06084,0.000441088,0.000441088,0.000441088
59,2217.39,0.87172,0.42055,0.97984,0.94322,0.95701,0.96366,0.72879,0.92444,0.40269,1.05789,0.000424289,0.000424289,0.000424289
60,2255.02,0.87812,0.42121,0.98405,0.93424,0.89875,0.94552,0.72578,0.89974,0.46973,1.04511,0.000407625,0.000407625,0.000407625
61,2292.7,0.87392,0.41695,0.97633,0.95,0.89979,0.94157,0.71584,0.94787,0.42876,1.06823,0.000391113,0.000391113,0.000391113
62,2330.48,0.87041,0.41238,0.97469,0.90613,0.93031,0.95183,0.7183,0.92793,0.42383,1.05968,0.000374768,0.000374768,0.000374768
63,2367.94,0.85973,0.40584,0.96974,0.92562,0.93974,0.96265,0.72679,0.95146,0.41821,1.07592,0.000358607,0.000358607,0.000358607
64,2405.68,0.85935,0.41576,0.97334,0.90014,0.95804,0.94371,0.71827,0.94909,0.42996,1.0743,0.000342646,0.000342646,0.000342646
