epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1115.46,1.16585,1.46968,1.19585,0.53743,0.39539,0.41434,0.27859,1.25531,1.471,1.24525,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288
2,2058.08,1.29328,1.78631,1.28308,0.52514,0.38778,0.39645,0.2653,1.27692,1.51197,1.27277,0.0196027,0.00653422,0.0196027,0.00653422,0.0196027,0.00653422,0.0196027,0.00653422
3,2935.61,1.35685,1.95234,1.33092,0.54136,0.37019,0.39199,0.26298,1.26368,1.5317,1.27567,0.0288107,0.00960357,0.0288107,0.00960357,0.0288107,0.00960357,0.0288107,0.00960357
4,3789.6,1.3544,1.94742,1.33477,0.54257,0.38647,0.41034,0.27659,1.24785,1.47808,1.26549,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4645.05,1.3108,1.83821,1.30451,0.55463,0.39725,0.42477,0.29056,1.22584,1.4347,1.24926,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5499.91,1.28823,1.77668,1.28783,0.56375,0.40711,0.43411,0.29805,1.21141,1.40903,1.23819,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6354.61,1.27412,1.74022,1.27791,0.56989,0.40889,0.44014,0.30368,1.20289,1.39517,1.23119,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7208.03,1.26492,1.71264,1.2714,0.57126,0.41231,0.44399,0.30701,1.19776,1.38806,1.22684,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8061.43,1.25586,1.69105,1.2633,0.56106,0.41956,0.4468,0.30919,1.19356,1.3815,1.22327,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,8915.04,1.24906,1.67528,1.25872,0.56357,0.42338,0.44972,0.31188,1.19041,1.37614,1.22045,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,9767.56,1.24333,1.66241,1.25449,0.57319,0.42273,0.45259,0.31427,1.1879,1.3695,1.21748,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,10622.1,1.23879,1.64717,1.25197,0.58046,0.42206,0.45569,0.31631,1.18563,1.36218,1.21492,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,11477.6,1.23559,1.63867,1.24877,0.58574,0.42217,0.45836,0.31853,1.18317,1.35408,1.21272,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,12329.8,1.23315,1.62929,1.24684,0.58862,0.42429,0.46064,0.32056,1.1801,1.34524,1.20988,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,13184,1.22948,1.62013,1.24324,0.59297,0.42444,0.46274,0.32189,1.17774,1.33739,1.2074,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,14038.7,1.22482,1.6104,1.24098,0.5925,0.42643,0.46493,0.32378,1.175,1.32949,1.20509,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,14893.9,1.22301,1.60189,1.23785,0.58855,0.42964,0.46715,0.32569,1.17262,1.32222,1.20225,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,15747,1.21948,1.6015,1.23767,0.59156,0.43162,0.4689,0.32711,1.17093,1.31572,1.20023,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,16598.8,1.21749,1.59256,1.23538,0.58824,0.43411,0.47021,0.32829,1.16929,1.31028,1.19862,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,17453,1.21542,1.58314,1.23293,0.58692,0.43718,0.47214,0.32973,1.16785,1.30543,1.19692,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,18305,1.21089,1.57738,1.23098,0.59338,0.43708,0.47392,0.33113,1.16632,1.30077,1.19562,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,19157.4,1.20806,1.57193,1.22932,0.59855,0.43848,0.47568,0.33251,1.16392,1.29661,1.19356,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,20011.3,1.20625,1.56507,1.2266,0.59408,0.44028,0.47682,0.33394,1.16221,1.29244,1.19181,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,20868.7,1.20337,1.55625,1.22482,0.59159,0.44212,0.47826,0.33503,1.16083,1.28826,1.19053,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,21723.6,1.19951,1.54889,1.22218,0.59496,0.44362,0.4798,0.33628,1.15942,1.28555,1.18904,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,22577.5,1.19808,1.54635,1.2224,0.59181,0.44816,0.48105,0.33746,1.15819,1.28301,1.18832,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,23429.9,1.19623,1.53833,1.22,0.59978,0.44563,0.48213,0.33817,1.15733,1.28047,1.18751,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,24282.7,1.19249,1.52996,1.21776,0.59953,0.44661,0.48329,0.33939,1.15593,1.27782,1.18594,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,25137.1,1.19017,1.52171,1.2145,0.60046,0.44724,0.48502,0.3407,1.15465,1.27556,1.18465,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,25992.2,1.1883,1.51667,1.21379,0.59934,0.45093,0.48633,0.34154,1.15355,1.27299,1.18289,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,26846.7,1.18224,1.50702,1.21116,0.60531,0.44908,0.48713,0.34227,1.1529,1.27108,1.1822,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,27703.5,1.18073,1.49952,1.20896,0.61115,0.44904,0.48831,0.34334,1.15158,1.26917,1.18074,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,28558.2,1.17624,1.49274,1.20742,0.60809,0.45188,0.48944,0.34417,1.15078,1.26731,1.17991,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,29412,1.17261,1.48383,1.20449,0.60447,0.45334,0.49008,0.34458,1.15041,1.26633,1.17942,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,30267.3,1.1709,1.4758,1.20307,0.60548,0.45549,0.49152,0.3455,1.14926,1.26407,1.17814,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,31127,1.16711,1.46823,1.20087,0.61134,0.45367,0.49247,0.34642,1.14855,1.26174,1.17721,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,31981.1,1.16456,1.45936,1.19846,0.60558,0.45656,0.49361,0.34756,1.14686,1.25975,1.17559,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,32834.3,1.16091,1.45096,1.19579,0.60984,0.45595,0.49432,0.34827,1.14573,1.25858,1.17445,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,33688.2,1.15684,1.44186,1.19324,0.61443,0.45365,0.49488,0.34904,1.14408,1.25704,1.17318,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,34544.8,1.15089,1.43034,1.18955,0.61652,0.45399,0.49583,0.35022,1.14322,1.25608,1.1723,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,35397.8,1.18415,1.37746,1.21806,0.61441,0.45576,0.49634,0.35076,1.14239,1.25568,1.1714,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,36249.6,1.17659,1.35359,1.21205,0.61906,0.45423,0.49749,0.35147,1.14091,1.25541,1.17008,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,37099.4,1.16961,1.33913,1.20857,0.61739,0.45473,0.49839,0.35249,1.1393,1.25448,1.16947,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,37952.8,1.1636,1.32364,1.20302,0.61811,0.45727,0.49983,0.35316,1.13823,1.25379,1.16838,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
