raw_target,target_norm,status,error,block_targets,c2f_hidden_targets,c2f_bn_cv1_targets,c2f_bn_cv2_targets,sppf_hidden_targets,changed_paths,base_params,pruned_params_preft,postft_params,base_mb,saved_mb_preft,saved_mb_postft,base_map50_95,preft_map50_95,postft_map50_95,base_map50,preft_map50,postft_map50,base_lat_ms,preft_lat_ms,postft_lat_ms,base_fps,preft_fps,postft_fps,train_box_loss_last,train_cls_loss_last,train_dfl_loss_last,run_dir
model.0.conv,model.0,ok_preft_only,,0,,,,,model.0,3157200,3156566,3156566,12.04376220703125,0.00241851806640625,0.00241851806640625,0.3714722735825037,0.35509620503742967,0.35509620503742967,0.5211115330751224,0.49932753680512515,0.49932753680512515,1.642599312029779,1.630076385103166,1.630076385103166,608.7911961708351,613.4681841530456,613.4681841530456,,,,
model.1.conv,model.1,ok_preft_only,,1,,,,,model.1,3157200,3156666,3156666,12.04376220703125,0.00203704833984375,0.00203704833984375,0.3714722735825037,0.2836397792366577,0.2836397792366577,0.5211115330751224,0.4067821086237541,0.4067821086237541,1.642599312029779,1.5577319883741438,1.5577319883741438,608.7911961708351,641.958955368011,641.958955368011,,,,
model.2.cv1.conv,model.2.cv1,ok_preft_only,,,2,,,,model.2.cv1,3157200,3155784,3155784,12.04376220703125,0.005401611328125,0.005401611328125,0.3714722735825037,0.011612060188800845,0.011612060188800845,0.5211115330751224,0.02050925179022051,0.02050925179022051,1.642599312029779,1.5358718809671699,1.5358718809671699,608.7911961708351,651.0959751214923,651.0959751214923,,,,
model.2.cv2.conv,model.2.cv2,ok_preft_only,,2,,,,,model.2,3157200,3155322,3155322,12.04376220703125,0.00716400146484375,0.00716400146484375,0.3714722735825037,0.356392415885711,0.356392415885711,0.5211115330751224,0.5015850387779065,0.5015850387779065,1.642599312029779,1.5700530799105763,1.5700530799105763,608.7911961708351,636.9211415813762,636.9211415813762,,,,
model.2.m.0.cv1.conv,model.2.m.0.cv1,ok_preft_only,,,,2.0,,,model.2.m.0.cv1,3157200,3156620,3156620,12.04376220703125,0.0022125244140625,0.0022125244140625,0.3714722735825037,0.3635790873222982,0.3635790873222982,0.5211115330751224,0.5115638352080518,0.5115638352080518,1.642599312029779,1.5630419424269348,1.5630419424269348,608.7911961708351,639.7780973473433,639.7780973473433,,,,
model.2.m.0.cv2.conv,model.2.m.0.cv2,ok_preft_only,,,,,2.0,,model.2.m.0.cv2,3157200,3156844,3156844,12.04376220703125,0.0013580322265625,0.0013580322265625,0.3714722735825037,0.11392982004834623,0.11392982004834623,0.5211115330751224,0.17136600397479432,0.17136600397479432,1.642599312029779,1.5743281317409128,1.5743281317409128,608.7911961708351,635.1915968713504,635.1915968713504,,,,
model.3.conv,model.3,ok_preft_only,,3,,,,,model.3,3157200,3155076,3155076,12.04376220703125,0.0081024169921875,0.0081024169921875,0.3714722735825037,0.36536301070118493,0.36536301070118493,0.5211115330751224,0.5147139293260818,0.5147139293260818,1.642599312029779,1.5606354525312782,1.5606354525312782,608.7911961708351,640.7646310853995,640.7646310853995,,,,
model.4.cv1.conv,model.4.cv1,ok_preft_only,,,4,,,,model.4.cv1,3157200,3149424,3149424,12.04376220703125,0.0296630859375,0.0296630859375,0.3714722735825037,0.3067934839647771,0.3067934839647771,0.5211115330751224,0.4380368478081162,0.4380368478081162,1.642599312029779,1.5446346229407937,1.5446346229407937,608.7911961708351,647.4022951111399,647.4022951111399,,,,
model.4.cv2.conv,model.4.cv2,ok_preft_only,,4,,,,,model.4,3157200,3149124,3149124,12.04376220703125,0.0308074951171875,0.0308074951171875,0.3714722735825037,0.35897308823013696,0.35897308823013696,0.5211115330751224,0.5040072309707451,0.5040072309707451,1.642599312029779,1.5544622728601099,1.5544622728601099,608.7911961708351,643.3092764355514,643.3092764355514,,,,
model.4.m.0.cv1.conv,model.4.m.0.cv1,ok_preft_only,,,,4.0,,,model.4.m.0.cv1,3157200,3155466,3155466,12.04376220703125,0.00661468505859375,0.00661468505859375,0.3714722735825037,0.3652100110164301,0.3652100110164301,0.5211115330751224,0.5133135348298598,0.5133135348298598,1.642599312029779,1.5546414223033935,1.5546414223033935,608.7911961708351,643.2351445508099,643.2351445508099,,,,
model.4.m.0.cv2.conv,model.4.m.0.cv2,ok_preft_only,,,,,4.0,,model.4.m.0.cv2,3157200,3155274,3155274,12.04376220703125,0.00734710693359375,0.00734710693359375,0.3714722735825037,0.0023121185571424773,0.0023121185571424773,0.5211115330751224,0.0042632013656387305,0.0042632013656387305,1.642599312029779,1.5582100288942458,1.5582100288942458,608.7911961708351,641.7620099067332,641.7620099067332,,,,
model.4.m.1.cv1.conv,model.4.m.1.cv1,ok_preft_only,,,,4.1,,,model.4.m.1.cv1,3157200,3155466,3155466,12.04376220703125,0.00661468505859375,0.00661468505859375,0.3714722735825037,0.3643129463104309,0.3643129463104309,0.5211115330751224,0.5113053697948897,0.5113053697948897,1.642599312029779,1.5487008307594805,1.5487008307594805,608.7911961708351,645.7025011793927,645.7025011793927,,,,
model.4.m.1.cv2.conv,model.4.m.1.cv2,ok_preft_only,,,,,4.1,,model.4.m.1.cv2,3157200,3156138,3156138,12.04376220703125,0.00405120849609375,0.00405120849609375,0.3714722735825037,0.018568561486342814,0.018568561486342814,0.5211115330751224,0.031631873896716484,0.031631873896716484,1.642599312029779,1.5746246234048158,1.5746246234048158,608.7911961708351,635.071994389175,635.071994389175,,,,
model.5.conv,model.5,ok_preft_only,,5,,,,,model.5,3157200,3148022,3148022,12.04376220703125,0.03501129150390625,0.03501129150390625,0.3714722735825037,0.3676312538276973,0.3676312538276973,0.5211115330751224,0.5160905437682213,0.5160905437682213,1.642599312029779,1.4982924892101437,1.4982924892101437,608.7911961708351,667.4264252149932,667.4264252149932,,,,
model.6.cv1.conv,model.6.cv1,ok_preft_only,,,6,,,,model.6.cv1,3157200,3126168,3126168,12.04376220703125,0.118377685546875,0.118377685546875,0.3714722735825037,0.3053744179407132,0.3053744179407132,0.5211115330751224,0.4371893728910988,0.4371893728910988,1.642599312029779,1.56081828228198,1.56081828228198,608.7911961708351,640.6895737650889,640.6895737650889,,,,
model.6.cv2.conv,model.6.cv2,ok_preft_only,,6,,,,,model.6,3157200,3122230,3122230,12.04376220703125,0.13339996337890625,0.13339996337890625,0.3714722735825037,0.34882466191769806,0.34882466191769806,0.5211115330751224,0.4906113002132025,0.4906113002132025,1.642599312029779,1.5559964799322188,1.5559964799322188,608.7911961708351,642.6749757451645,642.6749757451645,,,,
model.6.m.0.cv1.conv,model.6.m.0.cv1,ok_preft_only,,,,6.0,,,model.6.m.0.cv1,3157200,3150276,3150276,12.04376220703125,0.0264129638671875,0.0264129638671875,0.3714722735825037,0.36749461233709374,0.36749461233709374,0.5211115330751224,0.516444807423238,0.516444807423238,1.642599312029779,1.541339997202158,1.541339997202158,608.7911961708351,648.7861223449733,648.7861223449733,,,,
model.6.m.0.cv2.conv,model.6.m.0.cv2,ok_preft_only,,,,,6.0,,model.6.m.0.cv2,3157200,3149508,3149508,12.04376220703125,0.0293426513671875,0.0293426513671875,0.3714722735825037,0.062143501668394115,0.062143501668394115,0.5211115330751224,0.10296670273579016,0.10296670273579016,1.642599312029779,1.5467704308219254,1.5467704308219254,608.7911961708351,646.5083506080591,646.5083506080591,,,,
